Date,PnL
2015-06-24,0.0
2015-06-25,-75.0
2015-06-26,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-02,-7.0
2015-07-03,-6.0
2015-07-06,829.0
2015-07-07,-786.0000000000002
2015-07-08,1615.0200000000002
2015-07-09,0.0
2015-07-10,0.0
2015-07-13,0.0
2015-07-14,87.58
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,8.0
2015-07-20,0.0
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,141.17
2015-07-24,-21.0
2015-07-27,349.73
2015-07-28,90.6
2015-07-29,0.0
2015-07-30,-207.0
2015-07-31,241.79
2015-08-03,0.0
2015-08-04,67.92
2015-08-05,17.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-10,0.0
2015-08-11,23.9
2015-08-12,0.0
2015-08-13,-49.0
2015-08-14,109.0
2015-08-17,0.0
2015-08-18,-11.0
2015-08-19,-162.0
2015-08-20,0.0
2015-08-21,-169.0
2015-08-24,425.0
2015-08-25,0.0
2015-08-26,170.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-31,-71.0
2015-09-01,259.0
2015-09-02,8.0
2015-09-04,42.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,12.0
2015-09-10,634.0
2015-09-11,377.0
2015-09-14,118.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,-1.0
2015-09-18,-547.0
2015-09-21,551.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,62.0
2015-09-29,907.0
2015-09-30,0.0
2015-10-02,0.0
2015-10-05,0.0
2015-10-06,-87.0
2015-10-07,0.0
2015-10-08,-195.0
2015-10-09,0.0
2015-10-12,0.0
2015-10-13,-30.0
2015-10-14,3.0
2015-10-15,177.0
2015-10-16,43.0
2015-10-19,0.0
2015-10-20,-13.0
2015-10-22,-79.0
2015-10-23,0.0
2015-10-26,-1.0
2015-10-27,-26.0
2015-10-28,-20.0
2015-10-29,196.0
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,38.000000000000284
2015-11-06,298.3899999999997
2015-11-09,0.0
2015-11-10,-56.0
2015-11-11,95.0
2015-11-12,0.0
2015-11-13,212.61
2015-11-16,0.0
2015-11-17,8.0
2015-11-18,-78.0
2015-11-19,250.0
2015-11-20,94.0
2015-11-23,0.0
2015-11-24,-147.0
2015-11-25,61.0
2015-11-26,0.0
2015-11-27,186.0
2015-11-30,-72.0
2015-12-01,0.0
2015-12-02,-27.0
2015-12-03,-45.0
2015-12-04,-32.0
2015-12-07,0.0
2015-12-08,124.0
2015-12-09,-58.0
2015-12-10,41.0
2015-12-11,89.0
2015-12-14,-108.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,15.0
2015-12-18,-25.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,-22.0
2015-12-28,-299.0
2015-12-29,0.0
2015-12-30,-29.0
2015-12-31,0.0
2016-01-04,137.0
2016-01-05,-38.0
2016-01-06,70.64
2016-01-07,419.0
2016-01-08,-73.00000000000009
2016-01-11,426.34000000000003
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-18,0.0
2016-01-19,-59.0
2016-01-20,-788.0
2016-01-21,465.0
2016-01-22,-270.0
2016-01-25,328.0
2016-01-26,300.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-02-01,0.0
2016-02-02,30.0
2016-02-03,-60.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-11,95.0
2016-02-12,118.0
2016-02-15,-109.00000000000028
2016-02-16,411.1100000000003
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,-31.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,-68.6
2016-02-25,362.0
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,-99.99999999999935
2016-03-02,449.9399999999994
2016-03-03,0.0
2016-03-04,0.0
2016-03-07,-91.0
2016-03-08,169.0
2016-03-09,-198.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-14,-31.0
2016-03-15,160.0
2016-03-16,0.0
2016-03-17,141.0
2016-03-18,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,188.0
2016-03-29,-54.0
2016-03-30,-304.0
2016-03-31,-117.0
2016-04-01,0.0
2016-04-05,85.0
2016-04-06,0.0
2016-04-07,0.0
2016-04-08,0.0
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,0.0
2016-04-14,0.0
2016-04-15,0.0
2016-04-18,184.0
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,-42.0
2016-04-25,150.0
2016-04-26,-14.000000000000291
2016-04-27,116.3600000000003
2016-04-28,298.0
2016-04-29,-501.0
2016-05-03,-244.0
2016-05-04,97.01
2016-05-05,0.0
2016-05-06,-22.0
2016-05-09,-50.0
2016-05-10,0.0
2016-05-11,21.0
2016-05-12,45.0
2016-05-13,239.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,48.0
2016-05-20,0.0
2016-05-23,0.0
2016-05-24,157.96
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,-58.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-06,103.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-10,-362.0000000000003
2016-06-13,215.8600000000003
2016-06-14,112.0
2016-06-15,0.0
2016-06-16,-49.0
2016-06-17,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,503.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-04,0.0
2016-07-05,35.0
2016-07-06,-208.0
2016-07-07,-165.0
2016-07-08,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-18,0.0
2016-07-19,-19.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-25,-34.0
2016-07-26,-126.0
2016-07-27,0.0
2016-07-28,67.0
2016-07-29,-178.0
2016-08-01,-306.0
2016-08-02,0.0
2016-08-03,-28.0
2016-08-04,103.0
2016-08-05,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,10.0
2016-08-11,-16.0
2016-08-12,0.0
2016-08-15,66.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-22,61.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,-7.0
2016-09-01,-36.0
2016-09-02,0.0
2016-09-05,0.0
2016-09-06,93.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-12,-195.0
2016-09-13,0.0
2016-09-14,-43.0
2016-09-15,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,-77.0
2016-09-26,194.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,238.0
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-11,-32.0
2016-10-12,-141.0
2016-10-13,0.0
2016-10-14,56.99999999999949
2016-10-17,70.1300000000005
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-24,134.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,-6.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,-255.0
2016-11-14,9.0
2016-11-15,0.0
2016-11-16,55.0
2016-11-17,151.0
2016-11-18,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,45.0
2016-11-25,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,22.0
2016-12-05,166.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,1.0
2016-12-12,-334.0
2016-12-13,0.0
2016-12-14,19.0
2016-12-15,-460.0
2016-12-16,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,-27.0
2016-12-22,0.0
2016-12-23,12.0
2016-12-28,-6.0
2016-12-29,0.0
2016-12-30,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-09,37.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,43.0
2017-01-13,-71.0
2017-01-16,56.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,36.0
2017-01-23,-7.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,24.0
2017-02-01,-97.0
2017-02-02,-63.0
2017-02-03,115.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,-32.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,3.0
2017-02-24,-115.0
2017-02-27,207.0
2017-02-28,-155.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,13.0
2017-03-06,106.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,12.0
2017-03-10,0.0
2017-03-13,0.0
2017-03-14,22.0
2017-03-15,-5.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,31.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-27,40.999999999999716
2017-03-28,99.1100000000003
2017-03-29,0.0
2017-03-30,23.0
2017-03-31,0.0
2017-04-03,-3.0
2017-04-05,88.04
2017-04-06,0.0
2017-04-07,-17.0
2017-04-10,0.0
2017-04-11,56.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-18,2.0000000000007283
2017-04-19,119.59999999999927
2017-04-20,0.0
2017-04-21,0.0
2017-04-24,171.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-05-02,0.0
2017-05-04,75.46
2017-05-05,32.0
2017-05-08,-52.0
2017-05-09,-190.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,67.0
2017-05-18,21.0
2017-05-19,27.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-29,0.0
2017-05-31,0.0
2017-06-01,-2.0
2017-06-02,0.0
2017-06-05,-45.0
2017-06-06,-7.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-12,39.0
2017-06-13,-46.0
2017-06-14,0.0
2017-06-15,-49.0
2017-06-16,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,17.999999999999567
2017-06-26,77.04000000000045
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,-40.0
2017-06-30,0.0
2017-07-03,0.0
2017-07-04,143.0
2017-07-05,0.0
2017-07-06,79.0
2017-07-07,-137.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-17,0.0
2017-07-18,74.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,42.0
2017-07-31,-46.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,-60.0
2017-08-04,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,33.0
2017-08-11,-68.0
2017-08-14,0.0
2017-08-15,74.0000000000008
2017-08-16,91.5099999999992
2017-08-17,-156.0
2017-08-18,205.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-28,0.0
2017-08-29,100.0
2017-08-30,15.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-04,68.0
2017-09-05,50.0
2017-09-06,-13.0
2017-09-07,-74.0
2017-09-08,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,46.0
2017-09-15,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,79.0
2017-09-21,0.0
2017-09-22,-55.0
2017-09-25,-104.0
2017-09-26,-80.0
2017-09-27,0.0
2017-09-28,-219.0
2017-09-29,-79.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-06,0.0
2017-10-09,-54.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,-85.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,-40.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-30,0.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,0.0
2017-11-03,28.0
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,88.0
2017-11-10,-14.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,45.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-27,47.0
2017-11-28,0.0
2017-11-29,0.0
2017-11-30,130.0
2017-12-01,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,708.0
2017-12-07,-105.0
2017-12-08,0.0
2017-12-11,0.0
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,58.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,37.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,208.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,-131.0
2018-01-26,0.0
2018-01-29,-220.0
2018-01-30,194.0
2018-01-31,0.0
2018-02-01,-213.0
2018-02-02,241.0
2018-02-05,-82.0
2018-02-06,-203.00000000000088
2018-02-07,561.0800000000008
2018-02-08,-204.0
2018-02-09,-107.68
2018-02-12,-214.0
2018-02-13,289.0
2018-02-14,0.0
2018-02-15,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,219.0
2018-02-23,0.0
2018-02-26,0.0
2018-02-27,46.0
2018-02-28,-57.0
2018-03-01,153.0
2018-03-02,-436.0
2018-03-05,419.0
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,-77.0
2018-03-09,105.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,188.14
2018-03-15,0.0
2018-03-16,0.0
2018-03-19,42.00000000000022
2018-03-20,-16.770000000000216
2018-03-21,-114.0
2018-03-22,324.0
2018-03-23,-902.0
2018-03-26,246.0
2018-03-27,86.0
2018-03-28,-862.0
2018-03-29,427.0
2018-04-03,0.0
2018-04-04,0.0
2018-04-06,0.0
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,0.0
2018-04-12,195.0
2018-04-13,0.0
2018-04-16,-11.0
2018-04-17,0.0
2018-04-18,199.0
2018-04-19,0.0
2018-04-20,0.0
2018-04-23,0.0
2018-04-24,0.0
2018-04-25,2.0
2018-04-26,273.0
2018-04-27,0.0
2018-04-30,0.0
2018-05-02,12.0
2018-05-03,0.0
2018-05-04,272.7
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-14,0.0
2018-05-15,-333.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,93.00000000000043
2018-05-21,345.2099999999996
2018-05-23,118.0
2018-05-24,-6.0
2018-05-25,0.0
2018-05-28,0.0
2018-05-29,-32.0
2018-05-30,-112.0
2018-05-31,3.0
2018-06-01,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,-9.0
2018-06-11,0.0
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,119.0
2018-06-15,93.0
2018-06-19,45.0
2018-06-20,-59.0
2018-06-21,118.0
2018-06-22,-250.0
2018-06-25,14.0
2018-06-26,-34.0
2018-06-27,0.0
2018-06-28,-54.0
